uniq_id,category,sub_cat1,sub_cat2,sub_cat3,sub_cat4
a904e69ec08ecbfde95106cc092c4983,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
57539ecb926423ce2c0b0231429363f4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
8a111d2a3a6bfdc000eeddd439324848,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
995777a914a1edb958a0da25b145643b,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Transformers & Decoders,NA
51bf530a535196413fc510972bcb5a4c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
b6e86fd32fc87ffbbb21d52f6ad8f06c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
590ad6c0f9bdbbac7887ec4e36eb08a0,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
225d50e558fd4464b6e1c2416c6b7e4e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
835e3add1236908071ebadf0b29776db,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
6d73a76c4ee846231cbb889d6b09182c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
5152452656955a9bf425a11ba221f016,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
b1bbbe466d07d864d703f11c04dd38c6,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
092049f9a2107584923622cdcd188c5e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
d160b9ad8d9c7c7ed1c207a77e9934cc,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
f02b2132fcb3460565b5de94c05be8a8,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
46c4c76cc40741ab53a8135b42e253c6,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
28ae83ef10dfcb3959d67de2c4587123,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
7370f538e03a2b5c543d9ab551c41385,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
326e553d0be9fdde19a4eba2ee356764,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
7ac9dab2688ccf3cc7c8841b00e6c828,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
65946ec2a36d8c4c7dc4f324ec27d6cf,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
d00536420b49a24024d1478353930c08,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
ffa7ca3452b7fba9bd7d2205a6401e77,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
cda61b59b03b1bb38557774b5f0e6e39,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
194f1b693807e89a41dbe61ef6cbb55c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
c2f2229faa77de1279f2f72649ae3bb4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
21ac3b927d42e0ca97da1384e6221b50,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
cea1292c07ce1d353f3a9d0d89086ee2,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
9eab0ff60b4865bc7a90a7d8770b88cf,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
799312a77b6debd51fa5a264a248ccc7,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
e8b32f46fd73960da6bbfdb019df7a36,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
4b15acfc7dc8ff73020661531b9c3a3d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
cf8cbdc12ebc3f75dc145f2b665b429b,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,NA
dda2d6752683937a8c3cd338ccd034a7,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
f4ca4da2c5a13cca69817062f48749b7,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
27ef97d8a597ba108beb2e2305030504,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
146e3c266c7edb06ce8b8538a16e3aff,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
30cba4e49bcc047cd9d95f9e41105b11,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
1db76877c1551b2c4f61ea6c9810922e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
931f3ee65f6548a4d4dbff820f6a93a4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
f64ee770588c055e6119febff3824e9b,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
c8ff1e11a712e55ed0ef02d7c787b80b,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
60ca5f456176a27b44eef289edfc942e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
617bb940fe2bcf1590a3c83ff4df31d4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
1e65ddc95b48bf211707ca91df150a88,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
5a56f5c490ca74ae48156a90eda82e34,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
0ecb946acda4fd2a96e37d3293428aa0,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
4b2029c25e531c56b61283ac2559791b,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
780044f0f8212723081813f438ca0cee,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
4f00afdf4311be7dbe982c4e7b7413cf,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
29571c0aadc91e0bd66055fa5be5a344,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
d19c9fca1b537ed5bfe6f3ddd1ecd4fb,Characters & Brands,Thomas & Friends,Train Play,Wooden Thomas,NA
bb2466d62f3fdc9510272ee5233694d3,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
9aa711b367533c012cb110d7ebca844b,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
4fe3fc492f715044ca59b0c4d5f53e72,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
3612a6c82b71b6f304ed36b7e48b1e38,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
142f98f4a806c7c5d7bdfc3f2417e865,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
9c2578668630183035ebdaf8fcf3e84e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
bb1a0e743e6b9d6e94f1e46e1f6a0ea3,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
e40700943d96d5c7e27a832274776116,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
3838fe1a007c0907a56154b65f672414,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
1b630a8cf3a61521966e86ba1ef37ecf,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
2e258ccf78b2caa2dbb558f466de3df4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
95ddb46815960a546e22a653fbb300e8,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
dc598f016a3664f70ca65a87022a18a6,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
eac1f8ec83ca5cc5fc0a6ddcb481b3f8,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
6b9e4719e5fbd968730d3e25168c359b,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
bf1b59fe9ed3ee095ccf159c2c74e10d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
bed1c3d92b6b1343548ddc5a1001ee89,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
798c64c4eeb48bb985b94d45e5c5cfc0,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
5c3da61bff1a3bb9237bae149fc100b7,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
95263d3e03936bf3a0bd175619b59cba,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
ae98d9437b91e1550b50395042175ecf,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
aedf496c4f0594f1814f301db907ffad,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
03756123c54f2857ac841e94b9679189,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,NA
7b11299d3c618cd5a9e943e0b643a7cf,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
de197cda5c870afd5ed2f85b587e6e79,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
bdd43e34552ee5d84b793ccceb27b701,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
f82cb6573e01270552f1649a1f1f5f24,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
0669d1acffbc127780e2038635b8167a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
0130161d344e02254e17e2672279836c,Hobbies,Model Trains & Railway Sets,Accessories,Recreational Activities,NA
5e40c134ad6f7adda391088022187883,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
536339e39e38d2f216d0555cf86ba007,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
3f37d1a60e07edd24c7db5c0915bcb98,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
98c5c9a20051ccb66c275b87a5fb6925,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
c889882abe447fb6a14e36c916e62d9c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
41bece2b9073dd6e7c74f4f1b2e51e03,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
ed7399c6974d934b43e5bb17f24db355,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
30ed5646f2d114df38c581072c63856a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
83632d8ef8a9fb29f75296b34b7ccd6a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
8df980439240865028b8808ef7b14cb8,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
1150534cee9ef4fa07f22dd1c709866d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
efcede0c71a5f78d36c6e0100f9c4fb3,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
26f0e95eea814ee55fdf0674142faebe,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
3771983ef8f14ef1b7738c31a2c05856,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
3b3a0ded5c6b62a881b665c4913c881d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
552130d7fc1de1e574df9ea50e527c02,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
3386e2030e8f3309ba97fc4acfba4814,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
808861a3a7355a080e0e1ad3cd51ba3f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
c42ec699f63ff3033df87ea3d7a97c9f,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
985f88a530e38d160ce675525c835546,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
e27b34032fd39ada24f181fd96eaed13,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
2759c69ce78c8e702713c3ae63cc9259,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
d8ff946959a5d7cb6df65ae4fd15c016,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,NA
b566ddaaa931ca661ad5238184a9270a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
7a5ff5790371f6036aa284e511a28a5c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
a8d29a2c05bb402335f29f433eb20beb,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
7474cf8f2da17c55263b4b192f18d77b,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
c94992bd3a1075962c5c566187826ce5,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
de3a9b8508d72623ded8cb07dc30331e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
7898087f8fef128083ec329a929aac50,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
6c0f920869922314c4c74c67549ecb13,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Control Moduls,NA
28b34581c89b979a168cf435f1c305c4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
059877e664b850b1637439cd4ee88174,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
9431d2d0575064a3d89bb2cd788cacc4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
bc421302f860983f7e90f30c3ee9fffd,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
c1976e03a3a8f7acca6b75e0668a9ea7,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Control Moduls,NA
306c1134a160c445a7024b1e75da0560,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
2c75d86e52018a1e283ff53bb0fe8377,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
60eb065991166e02c88c4929a413e25f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
2c485752ffb7f0f49de7902282539937,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
9c1780d4c600ed297f391cfd1414c715,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
074832fae76089a3e349ba1ec7d6aa6a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
afe95dccc9f8850cda65e77a9b36c3e5,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
94cefaf02ef2fa71c42ea6ce94217b1d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
ee97486bba0d9457a51db1924fe0163c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
59b20e9ba78b1603a09513020b3ef9d6,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
e124ffa7345b54cf6cbc08530dfe8fbd,Hobbies,Model Trains & Railway Sets,Accessories,Landscaping,NA
b158c4841db6e585d7dc9c3bab93f41a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
89c02a39fc9fee037db00a53b47c979d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
d3ba4664fc261e77e803633360fcf28e,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Control Moduls,NA
5b637795f60b65e64f49037b203d8944,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
95534049f7431eea318a6018bc1eff3f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
4089892979fb09caefa461a1ee9aefa8,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
